"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1861","36.574663","136.66549","避難所","","","","","","馬場小学校（指定避難場所）","収容人数：1561
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0831","金沢市東山3-9-30","","","","","","","標高：12.6M",""
"1862","36.575801","136.657413","避難所","","","","","","瓢箪町公民館（指定避難場所）","収容人数：134
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0901","金沢市彦三町2-10-5","","","","","","","標高：12.2M",""
"1863","36.576904","136.657166","避難所","","","","","","明成小学校（指定避難場所）","収容人数：1162
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0845","金沢市瓢箪町5-48","","","","","","","標高：11.0M",""
"1864","36.580991","136.650984","避難所","","","","","","堀川新町公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0849","金沢市堀川新町70","","","","","","","",""
"1865","36.577417","136.652298","避難所","","","","","","此花町緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0852","金沢市此花町149-1","","","","","","","",""
"1866","36.577193","136.651955","避難所","","","","","","此花公民館（指定避難場所）","収容人数：910
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0852","金沢市此花町2-7","","","","","","","標高：9.8M",""
"1867","36.569904","136.642132","避難所","","","","","","神保緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0861","金沢市三社町373-1","","","","","","","",""
"1868","36.568944","136.648156","避難所","","","","","","穴水町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0867","金沢市長土塀1-152","","","","","","","",""
"1869","36.569072","136.650909","避難所","","","","","","玉川公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0863","金沢市玉川町","","","","","","","",""
"1870","36.571996","136.65003","避難所","","","","","","玉川苑（指定避難場所）","収容人数：212
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0862","金沢市芳斉2-3-28","","","","","","","標高：12.0M",""
"1871","36.572038","136.64985","避難所","","","","","","芳斎公民館（指定避難場所）","収容人数：114
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0862","金沢市芳斉2-3-29","","","","","","","標高：11.8M",""
"1872","36.572524","136.649105","避難所","","","","","","中央小学校芳斎分校（指定避難場所）","収容人数：1667
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0862","金沢市芳斉2-3-8","","","","","","","標高：11.8M",""
"1874","36.570143","136.639241","避難所","","","","","","大和町防災拠点広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0046","金沢市大和町1-1","","","","","","","",""
"1875","36.566611","136.645581","避難所","","","","","","中央市民体育館（指定避難場所）","収容人数：1747
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0865","金沢市長町3-3-3","","","","","","","標高：13.9M",""
"1876","36.567145","136.645886","避難所","","","","","","長土塀公民館（指定避難場所）","収容人数：93
災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0865","金沢市長町3-3-3","","","","","","","",""
"1877","36.565847","136.660637","避難所","","","","","","金沢城公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0937","金沢市丸の内","","","","","","","",""
"1878","36.56947","136.652921","避難所","","","","","","松ヶ枝緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0864","金沢市高岡町237-2","","","","","","","",""
"1879","36.569885","136.652844","避難所","","","","","","松ヶ枝公民館（指定避難場所）","収容人数：152
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0864","金沢市高岡町7-23","","","","","","","標高：15.4M",""
"1880","36.562791","136.649927","避難所","","","","","","長町緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0865","金沢市長町2-2-43","","","","","","","",""
"1881","36.563153","136.650153","避難所","","","","","","中央公民館長町館（指定避難場所）","収容人数：911
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0865","金沢市長町2-2-43","","","","","","","標高：16.7M",""
"1882","36.563425","136.649214","避難所","","","","","","長町公民館（指定避難場所）","収容人数：148
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0865","金沢市長町2-2-16","","","","","","","標高：16.6M",""
"1883","36.567183","136.650725","避難所","","","","","","中央小学校（指定避難場所）","収容人数：3584
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0865","金沢市長町1-10-35","","","","","","","標高：14.7M",""
"1885","36.560204","136.674404","避難所","","","","","","天神町緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0925","金沢市天神町2-617","","","","","","","",""
"1886","36.558391","136.67731","避難所","","","","","","天神しらうめ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0925","金沢市天神町1-586","","","","","","","",""
"1887","36.560525","136.679226","避難所","","","","","","田井町第１児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0924","金沢市田井町273","","","","","","","",""
"1888","36.56648","136.665274","避難所","","","","","","味噌蔵町公民館（指定避難場所）","収容人数：149
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0931","金沢市兼六元町7-19","","","","","","","標高：20.4M",""
"1889","36.559645","136.680268","避難所","","","","","","兼六中学校（指定避難場所）","収容人数：3262
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0924","金沢市田井町12-12","","","","","","","標高：23.4M",""
"1890","36.564375","136.664685","避難所","","","","","","小将町中学校（指定避難場所）","収容人数：2404
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0932","金沢市小将町1-15","","","","","","","標高：24.9M",""
"1891","36.565889","136.666004","避難所","","","","","","兼六小学校（指定避難場所）","収容人数：2180
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0931","金沢市兼六元町7-15","","","","","","","標高：20.2M",""
"1892","36.567463","136.673498","避難所","","","","","","常盤町緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0835","金沢市東御影町163-1","","","","","","","",""
"1893","36.563861","136.689744","避難所","","","","","","睦が丘公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1161","金沢市鈴見台4-174","","","","","","","",""
"1894","36.559838","136.685814","避難所","","","","","","郡家山公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-1162","金沢市鈴見町郡家山1000","","","","","","","",""
"1895","36.559712","136.683827","避難所","","","","","","鈴見しょうぶ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-1167","金沢市もりの里3-1000","","","","","","","",""
"1896","36.562066","136.686821","避難所","","","","","","鈴見児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1161","金沢市鈴見台2-356","","","","","","","",""
"1897","36.56394","136.684385","避難所","","","","","","鈴見台第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1161","金沢市鈴見台4-43","","","","","","","",""
"1899","36.566961","136.667532","避難所","","","","","","材木公民館（指定避難場所）","収容人数：96
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0921","金沢市材木町13-11","","","","","","","標高：17.0M",""
"1900","36.567316","136.667968","避難所","","","","","","旧材木町小学校（指定避難場所）","収容人数：2179
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0921","金沢市材木町13-12","","","","","","","標高：16.9M",""
"1902","36.551374","136.659961","避難所","","","","","","菊川町公民館（指定避難場所）","収容人数：129
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0967","金沢市菊川2-3-3","","","","","","","標高：25.5M",""
"1903","36.543675","136.674374","避難所","","","","","","城南中学校（指定避難場所）","収容人数：2598
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0966","金沢市城南1-24-1","","","","","","","標高：34.9M",""
"1904","36.550316","136.661597","避難所","","","","","","菊川町小学校（指定避難場所）","収容人数：2206
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0967","金沢市菊川1-2-15","","","","","","","標高：26.3M",""
"1906","36.563252","136.655549","避難所","","","","","","いしかわ四高記念公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0962","金沢市広坂2丁目","","","","","","","",""
"1907","36.559332","136.662233","避難所","","","","","","本多の森公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0963","金沢市出羽町","","","","","","","",""
"1908","36.559134","136.660748","避難所","","","","","","本多公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0964","金沢市本多町3-51-1","","","","","","","",""
"1909","36.555979","136.656861","避難所","","","","","","新竪町公民館（指定避難場所）","収容人数：170
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0971","金沢市鱗町62","","","","","","","標高：22.7M",""
"1910","36.555479","136.66071","避難所","","","","","","遊学館高校（指定避難場所）","収容人数：214
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0964","金沢市本多町2-2-3","","","","","","","",""
"1911","36.556175","136.662596","避難所","","","","","","県立工業高校（指定避難場所）","収容人数：1124
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0964","金沢市本多町2-3-6","","","","","","","",""
"1912","36.555707","136.656858","避難所","","","","","","新竪町小学校（指定避難場所）","収容人数：1796
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0995","金沢市新竪町3-25","","","","","","","標高：23.2M",""
"1914","36.535715","136.652227","避難所","","","","","","泉野出町第３児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8116","金沢市泉野出町4-1533","","","","","","","",""
"1915","36.538973","136.66218","避難所","","","","","","平和町第１児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8105","金沢市平和町3-419","","","","","","","",""
"1916","36.532431","136.652649","避難所","","","","","","長坂台児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8115","金沢市長坂台136","","","","","","","",""
"1917","36.535173","136.656258","避難所","","","","","","長坂みはらし公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8112","金沢市長坂3-1521","","","","","","","",""
"1918","36.538935","136.664171","避難所","","","","","","金沢大学人間社会学域学校教育学類附属高等学校（指定避難場所）","収容人数：364
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8105","金沢市平和町1-1-15","","","","","","","",""
"1919","36.537978","136.665458","避難所","","","","","","金沢大学人間社会学域学校教育学類附属中学校（指定避難場所）","収容人数：749
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8105","金沢市平和町1-1-15","","","","","","","",""
"1920","36.536875","136.665919","避難所","","","","","","金沢大学人間社会学域学校教育学類附属小学校（指定避難場所）","収容人数：390
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8105","金沢市平和町1-1-15","","","","","","","",""
"1921","36.535006","136.657517","避難所","","","","","","長坂台小学校（指定避難場所）","収容人数：2376
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8112","金沢市長坂3-14-1","","","","","","","標高：58.4M",""
"1922","36.539398","136.656056","避難所","","","","","","泉野出町第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8116","金沢市泉野出町1-2107","","","","","","","",""
"1923","36.53754","136.650923","避難所","","","","","","泉野出町第１公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8116","金沢市泉野出町2-1601","","","","","","","",""
"1924","36.544314","136.656708","避難所","","","","","","城南市民体育館（指定避難場所）","収容人数：331
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8111","金沢市若草町1-60","","","","","","","標高：48.0M",""
"1925","36.539911","136.650051","避難所","","","","","","市総合体育館（指定避難場所）","収容人数：4286
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8116","金沢市泉野出町3-8-1","","","","","","","標高：40.7M",""
"1926","36.541333","136.658383","避難所","","","","","","金沢二水高校（指定避難場所）","収容人数：665
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8117","金沢市緑が丘20-15","","","","","","","",""
"1927","36.538653","136.649015","避難所","","","","","","金沢泉丘高校（指定避難場所）","収容人数：955
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8116","金沢市泉野出町3-10-10","","","","","","","",""
"1928","36.542714","136.654245","避難所","","","","","","泉野小学校（指定避難場所）","収容人数：2598
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8117","金沢市緑が丘4-64","","","","","","","標高：46.0M",""
"1930","36.54017","136.671072","避難所","","","","","","西大桑町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8102","金沢市西大桑町715","","","","","","","",""
"1931","36.541144","136.665359","避難所","","","","","","平和町公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8105","金沢市平和町2-164","","","","","","","",""
"1932","36.527427","136.679069","避難所","","","","","","つつじが丘児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","921-8103","金沢市つつじが丘202","","","","","","","",""
"1933","36.525252","136.67701","避難所","","","","","","万寿苑（指定避難場所）","収容人数：515
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8046","金沢市大桑町ヤ1-4","","","","","","","標高：131.1M",""
"1934","36.541761","136.661158","避難所","","","","","","城南公民館（指定避難場所）","収容人数：329
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8111","金沢市若草町22-12","","","","","","","標高：52.0M",""
"1935","36.544247","136.657636","避難所","","","","","","野田中学校（指定避難場所）","収容人数：3775
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8111","金沢市若草町1-23","","","","","","","標高：47.5M",""
"1936","36.545327","136.660911","避難所","","","","","","十一屋小学校（指定避難場所）","収容人数：2615
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8106","金沢市十一屋町3-45","","","","","","","標高：47.5M",""
"1937","36.560004","136.646507","避難所","","","","","","白菊町緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8024","金沢市白菊町370-1","","","","","","","",""
"1938","36.56227","136.637288","避難所","","","","","","神田町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8027","金沢市神田1-271","","","","","","","",""
"1939","36.559501","136.635296","避難所","","","","","","神泉児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8027","金沢市神田2-27","","","","","","","",""
"1940","36.56135","136.644077","避難所","","","","","","中村町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8022","金沢市中村町281","","","","","","","",""
"1941","36.559467","136.641945","避難所","","","","","","中村町公民館（指定避難場所）","収容人数：128
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8022","金沢市中村町10-35","","","","","","","標高：14.1M",""
"1942","36.560983","136.642059","避難所","","","","","","中村町小学校（指定避難場所）","収容人数：2174
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8022","金沢市中村町26-12","","","","","","","標高：14.5M",""
"1943","36.543945","136.6487","避難所","","","","","","泉が丘おあしす広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8041","金沢市泉ヶ丘1-72","","","","","","","",""
"1944","36.549087","136.644205","避難所","","","","","","弥生さくら公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8036","金沢市弥生1-753","","","","","","","",""
"1945","36.549385","136.644678","避難所","","","","","","弥生公民館（指定避難場所）","収容人数：130
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8036","金沢市弥生1-29-13","","","","","","","標高：27.0M",""
"1946","36.549168","136.645262","避難所","","","","","","泉中学校（指定避難場所）","収容人数：3279
災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8036","金沢市弥生1-26-1","","","","","","","標高：31.0M",""
"1948","36.553143","136.647406","避難所","","","","","","野町公民館（指定避難場所）","収容人数：149
災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8031","金沢市野町3-1-15","","","","","","","",""
"1949","36.554034","136.639015","避難所","","","","","","金沢中央高校（指定避難場所）","収容人数：690
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8042","金沢市泉本町6-105","","","","","","","",""
"1950","36.548845","136.645589","避難所","","","","","","泉小学校（指定避難場所）","収容人数：2791
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8036","金沢市弥生１丁目２６−１ 市立泉小学校","","","","","","","標高：31.7M",""
"1951","36.567227","136.645886","避難所","","","","","","長土塀交流館（指定避難場所）","収容人数：520
災害適否  地震：利用不可 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0865","金沢市長町3-3-3","","","","","","","",""
"1952","36.545958","136.663605","避難所","","","","","","いしかわ子ども交流センター（指定避難場所）","収容人数：58
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8101","法島町11-8","","","","","","","",""
"1953","36.594143","136.648023","避難所","","","","","","諸江町上丁ゆうあい公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0014","諸江町上丁523","","","","","","","",""
"1955","36.542182","136.689941","避難所","","","","","","田上さくらぶち公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1157","金沢市田上さくら１丁目100番地","","","","","","","",""
"1956","36.544294","136.693975","避難所","","","","","","田上郷公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1156","金沢市田上の里１丁目195番地","","","","","","","",""
"1957","36.5378","136.696694","避難所","","","","","","田上本町高嶋公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1155","金沢市田上本町３丁目52番地１","","","","","","","",""
"1958","36.50285","136.695739","避難所","","","","","","金沢工業大学天池自然学苑体育館（指定避難場所）","収容人数：656
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1331","天池町3","","","","","","","",""
"1959","36.507023","136.62373","避難所","","","","","","四十万きずな広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8133","金沢市四十万町北ヌ","","","","","","","",""
"1960","36.548083","136.688669","避難所","","","","","","田上桜の道公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1157","金沢市田上さくら３丁目111番地","","","","","","","",""
"1961","36.516559","136.6965","避難所","","","","","","金沢学院大学（指定避難場所）","収容人数：340
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1302","末町10","","","","","","","",""
"1962","36.518109","136.67056","避難所","","","","","","北陸学院大学（指定避難場所）","収容人数：413
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1346","三小牛町イ11","","","","","","","",""
"1963","36.517936","136.671912","避難所","","","","","","北陸学院小学校（指定避難場所）","収容人数：196
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1346","三小牛町イ11","","","","","","","",""
"1964","36.583409","136.682691","避難所","","","","","","金沢星稜大学（指定避難場所）","収容人数：1396
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：未利用","920-0813","御所町丑10-1","","","","","","","",""
"1965","36.525431","136.70751","避難所","","","","","","北陸大学（指定避難場所）","収容人数：952
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1154","太陽が丘1-1","","","","","","","",""
"1966","36.548754","136.709877","避難所","","","","","","金沢大学角間キャンパス（指定避難場所）","収容人数：1616
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3134","金沢市角間町","","","","","","","",""
"1967","36.556565","136.675021","避難所","","","","","","金沢大学鶴間キャンパス（指定避難場所）","収容人数：381
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0934","宝町13-1","","","","","","","",""
"1968","36.597369","136.668946","避難所","","","","","","三池はすの里公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0809","金沢市三池栄町346","","","","","","","",""
"1969","36.596241","136.672851","避難所","","","","","","三池はすのみ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0809","金沢市三池栄町201","","","","","","","",""
"1970","36.581226","136.625798","避難所","","","","","","戸板東公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0068","金沢市戸板４丁目19番地","","","","","","","",""
"2017","36.594339","136.604294","避難所","","","","","","金沢海みらい図書館（指定避難場所）","収容人数：264
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0341","金沢市寺中町イ１−１","","","","","","","標高：2.8M",""
"2018","36.565531","136.676437","避難所","","","","","","石川県青少年総合研修センター（指定避難場所）","収容人数：175
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","920-0834","金沢市常盤町２１２−１","","","","","","","",""
"2020","36.610635","136.681548","避難所","","","","","","金市やすらぎ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-3134","金沢市金市町ニ１２−１","","","","","","","",""
"2021","36.61106","136.667437","避難所","","","","","","千木日吉の森公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0001","金沢市千木町カ６６","","","","","","","",""
"2022","36.592494","136.624768","避難所","","","","","","鞍月セントラルパーク（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-8202","金沢市西都２丁目","","","","","","","",""
"2023","36.579184","136.598418","避難所","","","","","","いしかわ総合スポーツセンター（指定避難場所）","収容人数：567
災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0355","金沢市稚日野町北","","","","","","","標高：4.6M",""
"2025","36.562468","136.586026","避難所","","","","","","産王の杜公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0381","金沢市中屋２丁目","","","","","","","",""
"2026","36.562975","136.586547","避難所","","","","","","八洲原公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0374","金沢市上安原町９４３","","","","","","","",""
"2027","36.601788","136.604458","避難所","","","","","","きびきの中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0341","金沢市木曳野３６街区","","","","","","","",""
"2028","36.58219","136.615595","避難所","","","","","","松村あおぞら公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0348","金沢市松村３丁目","","","","","","","",""
"2029","36.599833","136.613127","避難所","","","","","","無量寺ベイパーク（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0333","金沢市無量寺４丁目２番地","","","","","","","",""
"2030","36.602408","136.615112","避難所","","","","","","無量寺うみかぜ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0332","金沢市無量寺町ハ201番地","","","","","","","",""
"2031","36.596279","136.597061","避難所","","","","","","大野湊緑地公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0336","金沢市金石本町","","","","","","","",""
"2032","36.549485","136.673237","避難所","","","","","","笠舞第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0965","金沢市笠舞１丁目４１４","","","","","","","",""
"2033","36.535719","136.677447","避難所","","","","","","大桑かやのした公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8045","金沢市大桑３丁目８１","","","","","","","",""
"2035","36.608755","136.598879","避難所","","","","","","金石町小学校（指定避難場所）","収容人数：2188
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0338","金沢市金石北４丁目１−１","","","","","","","標高：8.1M",""
"2036","36.517878","136.743048","避難所","","","","","","キゴ山ふれあい研修センターこども交流棟（指定避難場所）","収容人数：998
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1141","金沢市平等本町カ","","","","","","","",""
"2037","36.52372","136.746017","避難所","","","","","","キゴ山ふれあい研修センター青少年交流棟（指定避難場所）","収容人数：1304
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1107","金沢市小豆沢町ヲ４","","","","","","","",""
"2038","36.583216","136.646472","避難所","","","","","","金沢勤労者プラザ（指定避難場所）","収容人数：176
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0022","金沢市北安江３丁目２−２０","","","","","","","標高：8.0M",""
"2039","36.532068","136.698963","避難所","","","","","","田上本町馬場公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1155","金沢市田上本町８１街区","","","","","","","",""
"2040","36.534585","136.6934","避難所","","","","","","田上本町朝霧公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-1155","金沢市田上本町","","","","","","","",""
"2335","36.570622","136.645412","避難所","","","","","","女性センター（指定避難場所）","収容人数：81
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0861","金沢市三社町１−４４","","","","","","","標高：11.5M",""
"2337","36.581375","136.60983","避難所","","","","","","示野公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0059","金沢市示野町チ233番地","","","","","","","",""
