"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1766","36.602376","136.651757","避難所","","","","","","松寺中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0011","金沢市松寺町子83-1","","","","","","","",""
"1767","36.597474","136.657704","避難所","","","","","","城北市民運動公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0012","金沢市磯部町ニ25-1","","","","","","","",""
"1768","36.601582","136.656121","避難所","","","","","","城北市民テニスコート（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0011","金沢市松寺町酉90-1","","","","","","","",""
"1769","36.603897","136.651954","避難所","","","","","","松寺公民館（指定避難場所）","収容人数：116
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0011","金沢市松寺町丑42","","","","","","","標高：4.4M",""
"1770","36.625255","136.631218","避難所","","","","","","木谷公園（指定避難場所）","災害適否  地震：利用可能 津波：利用不可 洪水：利用可能 土砂：利用可能","920-0226","金沢市粟崎町リ1-1","","","","","","","",""
"1771","36.634055","136.621717","避難所","","","","","","粟崎町４丁目児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0226","金沢市粟崎町4-6","","","","","","","",""
"1772","36.626639","136.621164","避難所","","","","","","粟崎第１公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0226","金沢市粟崎町3-242","","","","","","","",""
"1773","36.630502","136.626171","避難所","","","","","","粟崎中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0226","金沢市粟崎町2-247","","","","","","","",""
"1774","36.625577","136.627885","避難所","","","","","","粟崎公民館（指定避難場所）","収容人数：116
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0226","金沢市粟崎町1-3","","","","","","","標高：11.1M",""
"1775","36.621217","136.624622","避難所","","","","","","粟崎小学校（指定避難場所）","収容人数：1926
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0226","金沢市粟崎町ヘ78","","","","","","","標高：6.7M",""
"1776","36.62846","136.620258","避難所","","","","","","ものづくり会館（指定避難場所）","収容人数：274
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0226","金沢市粟崎町4-80-1","","","","","","","標高：20.5M",""
"1777","36.624846","136.636039","避難所","","","","","","湊３丁目公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0211","金沢市湊3-19-1","","","","","","","",""
"1778","36.599695","136.626494","避難所","","","","","","大友なぎさ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-8205","金沢市大友1-148","","","","","","","",""
"1779","36.597262","136.621956","避難所","","","","","","鞍月磯のひろば公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-8203","金沢市鞍月4-53","","","","","","","",""
"1780","36.599175","136.620829","避難所","","","","","","鞍月広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-8203","金沢市鞍月4-21","","","","","","","",""
"1781","36.603303","136.620425","避難所","","","","","","戸水船のひろば公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-8204","金沢市戸水1-400","","","","","","","",""
"1782","36.615479","136.633777","避難所","","","","","","直江北公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-8218","金沢市直江北1-176","","","","","","","",""
"1783","36.608193","136.62383","避難所","","","","","","戸水公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0211","金沢市湊4-62","","","","","","","",""
"1784","36.610771","136.634596","避難所","","","","","","鞍月中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-8216","金沢市直江町ト37-9","","","","","","","",""
